label,centros,type,competencias,lineas
1618,50019299,recm,"Competencia digital, Competencia en comunicación lingüística, Conciencia y expresiones culturales,","Comunicación oral, Metodologías activas, TAC (Tecnologías del Aprendizaje y del Conocimiento),"
1628,50006669,recm,"Aprender a aprender, Competencia digital, Competencia en comunicación lingüística, Competencia matemática y competencias básicas en ciencia y tecnología, Competencias sociales y cívicas, Conciencia y expresiones culturales, Sentido de la iniciativa y espíritu emprendedor,","Metodologías activas,"
1630,50005951,recm,"Competencias sociales y cívicas, Aprender a aprender, Competencia en comunicación lingüística,","Comunicación oral, Metodologías activas,"
1631,50006669,recm,"Aprender a aprender,","Metodologías activas,"
1634,"50007731,50007731,50007731,50007731",recm,"Competencia en comunicación lingüística,","Comunicación oral, Metodologías activas,"
1635,50006669,recm,"Aprender a aprender, Competencia digital, Competencia en comunicación lingüística, Competencia matemática y competencias básicas en ciencia y tecnología, Competencias sociales y cívicas, Conciencia y expresiones culturales, Sentido de la iniciativa y espíritu emprendedor,","TAC (Tecnologías del Aprendizaje y del Conocimiento), Metodologías activas,"
1636,"50000618,50000618,50000618",recm,"Competencias sociales y cívicas,","Compromiso social,"
1637,"50000618,50000618,50000618,50000618,50000618,50000618,50000618,50000618,50000618",recm,"Competencia en comunicación lingüística, Competencias sociales y cívicas, Conciencia y expresiones culturales,","Metodologías activas, Comunicación oral, Compromiso social,"
1641,"22005145,2200514",recm,"Aprender a aprender, Conciencia y expresiones culturales, Competencias sociales y cívicas,","Compromiso social, Comunicación oral, Metodologías activas,"
1642,"50011392,5001139",recm,"Aprender a aprender, Competencia en comunicación lingüística, Competencias sociales y cívicas, Conciencia y expresiones culturales, Sentido de la iniciativa y espíritu emprendedor,","Metodologías activas,"
1647,50007731,recm,"Aprender a aprender, Competencia en comunicación lingüística,","Gestión de las emociones, Comunicación oral, Metodologías activas, Compromiso social,"
1648,"50018246,50018246,50018246,50018246",recm,"Aprender a aprender, Competencia digital, Competencia en comunicación lingüística, Competencia matemática y competencias básicas en ciencia y tecnología, Competencias sociales y cívicas, Sentido de la iniciativa y espíritu emprendedor,","Comunicación oral, Metodologías activas, TAC (Tecnologías del Aprendizaje y del Conocimiento),"
1649,"50008587,5000859",recm,"Competencia matemática y competencias básicas en ciencia y tecnología,","Gestión de las emociones, Metodologías activas,"
1650,"50008587,5000859",recm,"Competencia en comunicación lingüística,","Comunicación oral, Gestión de las emociones,"
1652,44010203,recm,"Competencias sociales y cívicas,","Gestión de las emociones,"
1654,"22005145,2200514",recm,"Competencias sociales y cívicas,","Compromiso social,"
1655,"50010739,5001074",recm,"Aprender a aprender, Competencia digital, Competencia en comunicación lingüística, Competencias sociales y cívicas, Conciencia y expresiones culturales, Sentido de la iniciativa y espíritu emprendedor,","Metodologías activas, TAC (Tecnologías del Aprendizaje y del Conocimiento), Gestión de las emociones,"
1656,50005951,recm,"Competencia en comunicación lingüística, Competencias sociales y cívicas, Competencia matemática y competencias básicas en ciencia y tecnología, Aprender a aprender,","Metodologías activas, Comunicación oral, Compromiso social,"
1661,"50006542,5000654",recm,"Aprender a aprender, Competencia en comunicación lingüística, Competencia digital, Conciencia y expresiones culturales, Aprender a aprender,","Metodologías activas, Comunicación oral,"
1662,50000618,recm,"Competencia matemática y competencias básicas en ciencia y tecnología, Competencias sociales y cívicas, Aprender a aprender,","Metodologías activas,"
1664,50000618,recm,"Competencia digital, Competencia en comunicación lingüística, Conciencia y expresiones culturales,","Comunicación oral, Metodologías activas, TAC (Tecnologías del Aprendizaje y del Conocimiento),"
1666,"50007731,5000773",recm,"Aprender a aprender, Competencia matemática y competencias básicas en ciencia y tecnología, Competencias sociales y cívicas, Conciencia y expresiones culturales, Sentido de la iniciativa y espíritu emprendedor,","Metodologías activas, Compromiso social,"
1682,50006669,recm,"Aprender a aprender, Competencia digital, Competencia en comunicación lingüística, Competencia matemática y competencias básicas en ciencia y tecnología, Competencias sociales y cívicas, Conciencia y expresiones culturales, Sentido de la iniciativa y espíritu emprendedor,","Compromiso social, Comunicación oral, Metodologías activas, TAC (Tecnologías del Aprendizaje y del Conocimiento),"
1686,50010739,recm,"Aprender a aprender, Competencia digital, Conciencia y expresiones culturales,",
1687,50002032,recm,"Aprender a aprender, Competencia en comunicación lingüística, Competencias sociales y cívicas,","Gestión de las emociones,"
1688,50008587,recm,"Competencia en comunicación lingüística,","Comunicación oral,"
1689,44010203,recm,"Competencia en comunicación lingüística, Competencias sociales y cívicas, Conciencia y expresiones culturales,","Comunicación oral, Metodologías activas,"
1690,"50019020,50019020,50019020",recm,"Aprender a aprender, Competencia digital, Competencia en comunicación lingüística, Competencia matemática y competencias básicas en ciencia y tecnología, Competencias sociales y cívicas, Conciencia y expresiones culturales, Sentido de la iniciativa y espíritu emprendedor,","Metodologías activas, Comunicación oral, TAC (Tecnologías del Aprendizaje y del Conocimiento),"
1694,"50006529,5000653",recm,,"Compromiso social,"
1695,"50008770,5000877",recm,"Aprender a aprender, Competencia digital, Competencia en comunicación lingüística, Competencias sociales y cívicas,","TAC (Tecnologías del Aprendizaje y del Conocimiento), Metodologías activas,"
1696,50008770,recm,"Competencia digital, Aprender a aprender,","TAC (Tecnologías del Aprendizaje y del Conocimiento), Metodologías activas,"
1698,50006529,recm,"Competencia digital, Competencias sociales y cívicas, Competencia en comunicación lingüística, Conciencia y expresiones culturales,",
1700,50010028,recm,"Competencia en comunicación lingüística,","Comunicación oral,"
1701,"50007236,50007236,50007236,50007236",recm,"Sentido de la iniciativa y espíritu emprendedor, Competencia matemática y competencias básicas en ciencia y tecnología,","Metodologías activas,"
1702,"50018246,5001825",recm,"Competencia digital,","TAC (Tecnologías del Aprendizaje y del Conocimiento),"
1725,"44002221,4400222",recm,"Competencia digital, Competencia en comunicación lingüística, Aprender a aprender,","TAC (Tecnologías del Aprendizaje y del Conocimiento),"
