label,webproyecto,responsables,contacto,institucional,pagina,type,link
ECO-Recreo,,Claustro de Profesores de la Fundación Laboral de la Construcción,,0,1881,rec,https://youtu.be/bI0Kc77CWgM
EDUCACIÓN EMOCIONAL SAN JAVIER,,"MARIA CULEBRAS LEÓN, NATALIA SAZ, EVA AMADOR, SILVIA ORTEGA, ALEJANDRA LUCEA, ANA Mª VICENTE, ARANZAZU ZATORRE",,0,1687,rec,https://youtu.be/8MZJ6ybAfs8
"Educamos para la vida, no para la escuela",,,,0,1432,rec,https://www.youtube.com/watch?v=Bf6wQ2ftveQ
Educar en la convivencia como principio educativo fundamental,http://cpjxizar.educa.aragon.es/,Luis del Barrio Aranda,,1,1893,rec,Proyecto convivencia.pdf
El bilingüismo en el CEIP Puente Sardas,,Lucía Lechón Mercier,,1,1929,rec,https://www.youtube.com/watch?v=VbOaOCIk1Vc
El club de la pajarita,http://elclubdelapajarita.blogspot.com.es/,Inma Monreal,,0,1447,rec,https://youtu.be/aUZ_dTwGv8o
El Ensanche se hace grande,,,,0,1752,rec,https://www.youtube.com/watch?v=xdKxdczfuqg
El funcionamiento del drone,,,,0,1423,rec,https://youtu.be/nCDJ2r6CCMw
EL Huerto de &quot;las Anas&quot; es particular,www.colegiosantaana.org,Mª Cruz Ramirez y profesores,,0,1666,rec,EL_Huerto_de_las_Anas_es_particular4.pdf
El huerto y el corral de mi escuela,http://colegioferreryracaj.wordpres.com,Conchita Palacio Prádanos,,1,1480,rec,https://youtu.be/njUDdviZQR0
Emociona TV,http://cplasfuentes.org/emociona-tv/,"Santiago Asensio Jiménez, director del centro",,0,1731,rec,https://youtu.be/u0bmDwBKb_w
Emociones,http://cpjmmzar.educa.aragon.es/,,,0,1761,rec,
EMPODERAMIENTO: mujeres y pedagogía 2015-2016,,"Macu Vicente, Virginia Espa, Lupe Lardiés, Ramón Día",,1,1641,rec,MarieCurie.jpg
Enseñar a Ver y Ver para Enseñar: Iniciación a la Visualización del Conocimiento en Secundaria,http:/iesvp.educa.aragon.es,Laura Martínez Escudero,,0,1776,rec,
Enseñar en inglés,http://lasanejasdeteruel.blogspot.com.es/2016/03/triptico-del-proyecto-de-organizacion.html,,,0,1757,rec,
Entornos felices: la clave de la convivencia.,,,,0,1429,rec,https://youtu.be/LyenDtLx-5Q
