label	ComposerLast	ComposerFirst	Composer	Work	Conductor	Performed	TimesPerf	NumConcerts	CumNumConcerts	NumHSOConcerts	CumNumHSOConcerts	Decade	First Date	Date	DayMonth	Year	Soloists	Comments	Venue	ConcertType	Chorus Conductor	Season	Sponsorship	Rating
Handel - Messiah 1990-12-21	Handel	George Frideric   	"Handel, George Frideric"	Messiah	"Seaman, Christopher"	True	3	2	33	2	31	1990	12/21/1990	1990-12-21	21/22/23-Dec	1990	"Heidi Grant Murphy (s), Nancy Maultsby (ms), David Britton (t), Jan Opalach (bbar)"	Concerts at JH (21/22 Dec). 3 performances include one in Galveston.  Heidi was just Heidi Grant at the time.	Houston	Classical	"Hausmann, Charles"	90-91	HSO	*****
Handel - Messiah 1990-12-23	Handel	George Frideric   	"Handel, George Frideric"	Messiah	"Seaman, Christopher"	True	1	1	34	1	32	1990	12/23/1990	1990-12-23	23-Dec	1990	"Heidi Grant Murphy (s), Nancy Maultsby (ms), David Britton (t), Jan Opalach (bbar)"	"Concert at 1894 Opera House, Galveston. Originally scheduled for First Methodist Church, Houston."	Galveston	Classical	"Hausmann, Charles"	90-91	HSO	
Rodgers - Selections 1991-01-11	Rodgers	Richard    	"Rodgers, Richard"	Selections	"Wayland, Newton"	True	3	3	37	3	35	1990	1/11/1991	1991-01-11	11/12/13-Jan	1991	"Katherine Terrell (s), Robert Tate (t), Lewis Dale von Schlanbusch (b), Julia Krohn (the little girl), Lizzie Lunine (choreographer)"	"Selections from Oklahoma!, The Sound of Music, Jumbo, Garrick Gaieties, Me and Juliet, The Boys from Syracuse, The King and I, State Fair, On Your Toes, Carousel, Flower Drum Song, South Pacific"	Houston	Pops	"Hausmann, Charles"	90-91	HSO	***
Ravel - Daphnis and ChloÇ 1991-02-23	Ravel	Maurice    	"Ravel, Maurice"	Daphnis and ChloÇ	"Eschenbach, Christoph"	True	3	3	40	3	38	1990	2/23/1991	1991-02-23	23/24/25-Feb	1991			Houston	Classical	"Hausmann, Charles"	90-91	HSO	****
Mozart - Requiem 1991-05-04	Mozart	Wolfgang Amadeus   	"Mozart, Wolfgang Amadeus"	Requiem	"Eschenbach, Christoph"	True	3	3	43	3	41	1990	5/4/1991	1991-05-04	4/5/6-May	1991	"Renee Fleming (s), Susanne Mentzer (ms), Karl Dent (t), Jubilant Sykes (bar)"		Houston	Classical	"Hausmann, Charles"	90-91	HSO	****
Various - Pops 1991-07-04	Various	    	Various	Pops	"Wayland, Newton"	True	1	1	44	1	42	1990	7/4/1991	1991-07-04	4-Jul	1991	"Jubilant Sykes (bar), Henry Cisneros (narrator)"	Miller Theater 4th of July Concert	Miller Theater	Pops	"Hausmann, Charles"	90-91	HSO	***
Tchaikowsky - 1812 Overture 1991-07-04	Tchaikowsky	Pyotr Ilyich   	"Tchaikowsky, Pyotr Ilyich"	1812 Overture	"Wayland, Newton"	True	1	0	44	0	42	1990	7/4/1991	1991-07-04	4-Jul	1991		Miller Theater 4th of July Concert	Miller Theater	Pops	"Hausmann, Charles"	90-91	HSO	
Poulenc - Gloria in G Major 1991-07-05	Poulenc	Francis    	"Poulenc, Francis"	Gloria in G Major	"Velazco, Jorge"	True	1	1	45	0	42	1990	7/5/1991	1991-07-05	5-Jul	1991	Jan Grissom (s)	"With Texas Music Festival Orchestra at U of H, Cullen Performance Hall"	Houston	Classical	"Hausmann, Charles"	90-91	Independent	***
Mendelssohn - Elijah 1991-09-06	Mendelssohn	Felix    	"Mendelssohn, Felix"	Elijah	"Salamunovich, Paul"	False	0	0	45	0	42	1990	9/6/1991	1991-09-06	6/7-Sep	1991	none	Workshop. No public performance.                               .	Houston	Classical	"Hausmann, Charles"	91-92	Independent	
Handel - Coronation Anthems 1991-10-05	Handel	George Frideric   	"Handel, George Frideric"	Coronation Anthems	"McGegan, Nicholas"	False	0	0	48	0	45	1990	10/5/1991	1991-10-05	5/6/7-Oct	1991		"Coronation Anthems - Zadok the Priest, Let Thy hand Be Strengthened"	Houston	Classical	"Hausmann, Charles"	91-92	HSO	
